goos: linux
goarch: amd64
pkg: github.com/ponchione/shunter/subscription
cpu: AMD Ryzen 9 9900X 12-Core Processor            
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_64x64/count_star-24         	      30	  39534910 ns/op	   38787 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_64x64/count_star-24         	      30	  39411032 ns/op	   38787 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_64x64/count_star-24         	      30	  39972413 ns/op	   38787 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_64x64/count_star-24         	      30	  39344801 ns/op	   38747 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_64x64/count_star-24         	      30	  39207678 ns/op	   38787 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_64x64/count_star-24         	      30	  39086378 ns/op	   38787 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_64x64/count_star-24         	      30	  39413189 ns/op	   38787 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_64x64/count_column-24       	      30	  39329496 ns/op	   38790 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_64x64/count_column-24       	      30	  39077770 ns/op	   38787 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_64x64/count_column-24       	      30	  39250766 ns/op	   38790 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_64x64/count_column-24       	      30	  39093127 ns/op	   38787 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_64x64/count_column-24       	      30	  39880961 ns/op	   38787 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_64x64/count_column-24       	      30	  39188101 ns/op	   38787 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_64x64/count_column-24       	      30	  39267388 ns/op	   38747 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_64x64/count_column-24       	      30	  39695889 ns/op	   38747 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_64x64/count_column-24       	      30	  39530852 ns/op	   38787 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_64x64/count_column-24       	      30	  39235376 ns/op	   38787 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_64x64/count_distinct-24     	      30	  39868979 ns/op	   59459 B/op	     151 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_64x64/count_distinct-24     	      30	  39594209 ns/op	   59502 B/op	     151 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_64x64/count_distinct-24     	      30	  39867417 ns/op	   59459 B/op	     151 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_64x64/count_distinct-24     	      30	  39647712 ns/op	   59502 B/op	     151 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_64x64/count_distinct-24     	      30	  39435793 ns/op	   59499 B/op	     151 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_64x64/count_distinct-24     	      30	  39619350 ns/op	   59499 B/op	     151 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_64x64/count_distinct-24     	      30	  39397306 ns/op	   59499 B/op	     151 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_64x64/count_distinct-24     	      30	  39878998 ns/op	   59502 B/op	     151 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_64x64/count_distinct-24     	      30	  39314217 ns/op	   59499 B/op	     151 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_64x64/count_distinct-24     	      30	  39480346 ns/op	   59499 B/op	     151 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_64x64/sum-24                	      30	  39483659 ns/op	   38875 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_64x64/sum-24                	      30	  39734643 ns/op	   38915 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_64x64/sum-24                	      30	  39353620 ns/op	   38918 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_64x64/sum-24                	      30	  39395859 ns/op	   38875 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_64x64/sum-24                	      30	  39489011 ns/op	   38878 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_64x64/sum-24                	      30	  39103011 ns/op	   38918 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_64x64/sum-24                	      30	  39667733 ns/op	   38915 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_64x64/sum-24                	      30	  39581169 ns/op	   38875 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_64x64/sum-24                	      30	  39878012 ns/op	   38915 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_64x64/sum-24                	      28	  39781263 ns/op	   38941 B/op	      75 allocs/op
PASS
ok  	github.com/ponchione/shunter/subscription	177.688s
