goos: linux
goarch: amd64
pkg: github.com/ponchione/shunter/subscription
cpu: AMD Ryzen 9 9900X 12-Core Processor            
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_48x48/count_star-24         	      51	  22910317 ns/op	   38614 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_48x48/count_star-24         	      51	  22968846 ns/op	   38639 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_48x48/count_star-24         	      51	  23259391 ns/op	   38639 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_48x48/count_star-24         	      52	  22780139 ns/op	   38633 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_48x48/count_star-24         	      51	  22670604 ns/op	   38637 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_48x48/count_star-24         	      52	  22677551 ns/op	   38610 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_48x48/count_star-24         	      52	  22752754 ns/op	   38633 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_48x48/count_column-24       	      52	  22693888 ns/op	   38612 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_48x48/count_column-24       	      51	  22818334 ns/op	   38616 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_48x48/count_column-24       	      52	  22673614 ns/op	   38635 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_48x48/count_column-24       	      52	  22784854 ns/op	   38633 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_48x48/count_column-24       	      51	  22690000 ns/op	   38637 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_48x48/count_column-24       	      51	  22926678 ns/op	   38637 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_48x48/count_column-24       	      51	  22755289 ns/op	   38614 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_48x48/count_column-24       	      51	  22752541 ns/op	   38637 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_48x48/count_column-24       	      51	  22707597 ns/op	   38637 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_48x48/count_column-24       	      52	  22637150 ns/op	   38633 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_48x48/count_distinct-24     	      52	  23005090 ns/op	   51819 B/op	     133 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_48x48/count_distinct-24     	      51	  22756564 ns/op	   51826 B/op	     133 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_48x48/count_distinct-24     	      51	  22782265 ns/op	   51829 B/op	     133 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_48x48/count_distinct-24     	      51	  22808045 ns/op	   51826 B/op	     133 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_48x48/count_distinct-24     	      52	  22785478 ns/op	   51819 B/op	     133 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_48x48/count_distinct-24     	      51	  22711702 ns/op	   51829 B/op	     133 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_48x48/count_distinct-24     	      51	  23018134 ns/op	   51803 B/op	     133 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_48x48/count_distinct-24     	      51	  22811449 ns/op	   51805 B/op	     133 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_48x48/count_distinct-24     	      51	  22750284 ns/op	   51826 B/op	     133 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_48x48/count_distinct-24     	      51	  22811358 ns/op	   51803 B/op	     133 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_48x48/sum-24                	      51	  22658362 ns/op	   38767 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_48x48/sum-24                	      51	  22744285 ns/op	   38765 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_48x48/sum-24                	      51	  22850616 ns/op	   38742 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_48x48/sum-24                	      51	  22720606 ns/op	   38744 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_48x48/sum-24                	      51	  22723251 ns/op	   38765 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_48x48/sum-24                	      52	  22731968 ns/op	   38761 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_48x48/sum-24                	      52	  22824893 ns/op	   38738 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_48x48/sum-24                	      51	  22758516 ns/op	   38765 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_48x48/sum-24                	      52	  22860237 ns/op	   38738 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_48x48/sum-24                	      51	  22695273 ns/op	   38765 B/op	      75 allocs/op
PASS
ok  	github.com/ponchione/shunter/subscription	175.698s
