goos: linux
goarch: amd64
pkg: github.com/ponchione/shunter/subscription
cpu: AMD Ryzen 9 9900X 12-Core Processor            
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_56x56/count_star-24         	      38	  30199456 ns/op	   38710 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_56x56/count_star-24         	      38	  30886549 ns/op	   38710 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_56x56/count_star-24         	      38	  30459314 ns/op	   38682 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_56x56/count_star-24         	      39	  30355139 ns/op	   38672 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_56x56/count_star-24         	      39	  30136811 ns/op	   38703 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_56x56/count_star-24         	      39	  30164879 ns/op	   38672 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_56x56/count_star-24         	      39	  30111565 ns/op	   38675 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_56x56/count_column-24       	      39	  30167141 ns/op	   38672 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_56x56/count_column-24       	      39	  30443593 ns/op	   38703 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_56x56/count_column-24       	      38	  30187457 ns/op	   38710 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_56x56/count_column-24       	      39	  30221870 ns/op	   38703 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_56x56/count_column-24       	      39	  30116136 ns/op	   38703 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_56x56/count_column-24       	      39	  30221049 ns/op	   38703 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_56x56/count_column-24       	      39	  30154179 ns/op	   38675 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_56x56/count_column-24       	      39	  30026575 ns/op	   38703 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_56x56/count_column-24       	      39	  30210031 ns/op	   38703 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_56x56/count_column-24       	      39	  30060859 ns/op	   38672 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_56x56/count_distinct-24     	      38	  30314320 ns/op	   53087 B/op	     141 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_56x56/count_distinct-24     	      38	  30391226 ns/op	   53087 B/op	     141 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_56x56/count_distinct-24     	      39	  30410086 ns/op	   53111 B/op	     141 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_56x56/count_distinct-24     	      38	  30268309 ns/op	   53118 B/op	     141 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_56x56/count_distinct-24     	      39	  30353617 ns/op	   53111 B/op	     141 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_56x56/count_distinct-24     	      38	  30578620 ns/op	   53118 B/op	     141 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_56x56/count_distinct-24     	      38	  30539579 ns/op	   53118 B/op	     141 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_56x56/count_distinct-24     	      38	  30951787 ns/op	   53118 B/op	     141 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_56x56/count_distinct-24     	      38	  30311497 ns/op	   53087 B/op	     141 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_56x56/count_distinct-24     	      38	  30758051 ns/op	   53118 B/op	     141 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_56x56/sum-24                	      38	  30390818 ns/op	   38838 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_56x56/sum-24                	      39	  30292723 ns/op	   38800 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_56x56/sum-24                	      38	  30395041 ns/op	   38838 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_56x56/sum-24                	      38	  30271108 ns/op	   38838 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_56x56/sum-24                	      38	  30352184 ns/op	   38810 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_56x56/sum-24                	      38	  30589855 ns/op	   38807 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_56x56/sum-24                	      38	  30339270 ns/op	   38838 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_56x56/sum-24                	      38	  30730205 ns/op	   38838 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_56x56/sum-24                	      38	  30446454 ns/op	   38838 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_56x56/sum-24                	      38	  30745134 ns/op	   38810 B/op	      75 allocs/op
PASS
ok  	github.com/ponchione/shunter/subscription	175.743s
