goos: linux
goarch: amd64
pkg: github.com/ponchione/shunter/subscription
cpu: AMD Ryzen 9 9900X 12-Core Processor            
BenchmarkMultiWayLiveJoinEvalSizes/rows_512/table_shape-24        	     212	   5638260 ns/op	  152019 B/op	      68 allocs/op
BenchmarkMultiWayLiveJoinEvalSizes/rows_512/table_shape-24        	     213	   5607137 ns/op	  152006 B/op	      68 allocs/op
BenchmarkMultiWayLiveJoinEvalSizes/rows_512/table_shape-24        	     213	   5614485 ns/op	  152085 B/op	      68 allocs/op
BenchmarkMultiWayLiveJoinEvalSizes/rows_512/count-24              	      36	  28645191 ns/op	  152252 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinEvalSizes/rows_512/count-24              	      36	  28702900 ns/op	  152285 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinEvalSizes/rows_512/count-24              	      36	  28742068 ns/op	  152285 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinEvalSizes/rows_512/count-24              	      36	  28790995 ns/op	  152285 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinEvalSizes/rows_512/count-24              	      40	  28682076 ns/op	  152202 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinEvalSizes/rows_512/count-24              	      36	  28711323 ns/op	  152285 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinEvalSizes/rows_512/count-24              	      40	  28766643 ns/op	  152413 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinEvalSizes/rows_512/count-24              	      36	  28706288 ns/op	  152285 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinEvalSizes/rows_512/count-24              	      36	  28820225 ns/op	  152285 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinEvalSizes/rows_512/count-24              	      36	  28777129 ns/op	  152252 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinRelationShapes/chain3-24                 	    3133	    381047 ns/op	   38259 B/op	      68 allocs/op
BenchmarkMultiWayLiveJoinRelationShapes/chain3-24                 	    3114	    382380 ns/op	   38264 B/op	      68 allocs/op
BenchmarkMultiWayLiveJoinRelationShapes/chain3-24                 	    3130	    381176 ns/op	   38263 B/op	      68 allocs/op
BenchmarkMultiWayLiveJoinRelationShapes/chain3-24                 	    3067	    382105 ns/op	   38264 B/op	      68 allocs/op
BenchmarkMultiWayLiveJoinRelationShapes/chain3-24                 	    3098	    383871 ns/op	   38266 B/op	      68 allocs/op
BenchmarkMultiWayLiveJoinRelationShapes/chain3-24                 	    3122	    383603 ns/op	   38266 B/op	      68 allocs/op
BenchmarkMultiWayLiveJoinRelationShapes/chain3-24                 	    3132	    383006 ns/op	   38265 B/op	      68 allocs/op
BenchmarkMultiWayLiveJoinRelationShapes/chain3-24                 	    3128	    384293 ns/op	   38267 B/op	      68 allocs/op
BenchmarkMultiWayLiveJoinRelationShapes/chain3-24                 	    3115	    384370 ns/op	   38264 B/op	      68 allocs/op
BenchmarkMultiWayLiveJoinRelationShapes/chain3-24                 	    3087	    385939 ns/op	   38267 B/op	      68 allocs/op
BenchmarkMultiWayLiveJoinRelationShapes/self_alias3-24            	    2433	    491676 ns/op	   39477 B/op	      71 allocs/op
BenchmarkMultiWayLiveJoinRelationShapes/self_alias3-24            	    2455	    491005 ns/op	   39479 B/op	      71 allocs/op
BenchmarkMultiWayLiveJoinRelationShapes/self_alias3-24            	    2432	    487629 ns/op	   39476 B/op	      71 allocs/op
BenchmarkMultiWayLiveJoinRelationShapes/self_alias3-24            	    2444	    486687 ns/op	   39473 B/op	      71 allocs/op
BenchmarkMultiWayLiveJoinRelationShapes/self_alias3-24            	    2450	    486469 ns/op	   39472 B/op	      71 allocs/op
BenchmarkMultiWayLiveJoinRelationShapes/self_alias3-24            	    2443	    488052 ns/op	   39473 B/op	      71 allocs/op
BenchmarkMultiWayLiveJoinRelationShapes/self_alias3-24            	    2451	    486812 ns/op	   39473 B/op	      71 allocs/op
BenchmarkMultiWayLiveJoinRelationShapes/self_alias3-24            	    2458	    485253 ns/op	   39479 B/op	      71 allocs/op
BenchmarkMultiWayLiveJoinRelationShapes/self_alias3-24            	    2421	    487642 ns/op	   39476 B/op	      71 allocs/op
BenchmarkMultiWayLiveJoinRelationShapes/self_alias3-24            	    2463	    487410 ns/op	   39478 B/op	      71 allocs/op
BenchmarkMultiWayLiveJoinRelationShapes/chain4-24                 	    1129	   1057890 ns/op	   51626 B/op	      88 allocs/op
BenchmarkMultiWayLiveJoinRelationShapes/chain4-24                 	    1126	   1055868 ns/op	   51623 B/op	      88 allocs/op
BenchmarkMultiWayLiveJoinRelationShapes/chain4-24                 	    1119	   1060910 ns/op	   51629 B/op	      88 allocs/op
BenchmarkMultiWayLiveJoinRelationShapes/chain4-24                 	    1120	   1056348 ns/op	   51629 B/op	      88 allocs/op
BenchmarkMultiWayLiveJoinRelationShapes/chain4-24                 	    1130	   1062129 ns/op	   51622 B/op	      88 allocs/op
BenchmarkMultiWayLiveJoinRelationShapes/chain4-24                 	    1136	   1053986 ns/op	   51626 B/op	      88 allocs/op
BenchmarkMultiWayLiveJoinRelationShapes/chain4-24                 	    1096	   1052924 ns/op	   51638 B/op	      88 allocs/op
BenchmarkMultiWayLiveJoinRelationShapes/chain4-24                 	    1140	   1052887 ns/op	   51636 B/op	      88 allocs/op
BenchmarkMultiWayLiveJoinRelationShapes/chain4-24                 	    1134	   1054910 ns/op	   51625 B/op	      88 allocs/op
BenchmarkMultiWayLiveJoinRelationShapes/chain4-24                 	    1136	   1053074 ns/op	   51624 B/op	      88 allocs/op
BenchmarkMultiWayLiveJoinRelationShapes/chain5_rows_128-24        	     584	   2050441 ns/op	   63874 B/op	     105 allocs/op
BenchmarkMultiWayLiveJoinRelationShapes/chain5_rows_128-24        	     584	   2046830 ns/op	   63879 B/op	     105 allocs/op
BenchmarkMultiWayLiveJoinRelationShapes/chain5_rows_128-24        	     584	   2050326 ns/op	   63876 B/op	     105 allocs/op
BenchmarkMultiWayLiveJoinRelationShapes/chain5_rows_128-24        	     582	   2049906 ns/op	   63875 B/op	     105 allocs/op
BenchmarkMultiWayLiveJoinRelationShapes/chain5_rows_128-24        	     582	   2060971 ns/op	   63879 B/op	     105 allocs/op
BenchmarkMultiWayLiveJoinRelationShapes/chain5_rows_128-24        	     584	   2061403 ns/op	   63879 B/op	     105 allocs/op
BenchmarkMultiWayLiveJoinRelationShapes/chain5_rows_128-24        	     580	   2057893 ns/op	   63890 B/op	     105 allocs/op
BenchmarkMultiWayLiveJoinRelationShapes/chain5_rows_128-24        	     580	   2064398 ns/op	   63888 B/op	     105 allocs/op
BenchmarkMultiWayLiveJoinRelationShapes/chain5_rows_128-24        	     562	   2056487 ns/op	   63896 B/op	     105 allocs/op
BenchmarkMultiWayLiveJoinRelationShapes/chain5_rows_128-24        	     582	   2064748 ns/op	   63885 B/op	     105 allocs/op
BenchmarkMultiWayLiveJoinRelationShapes/cross3_rows_24-24         	   24398	     50384 ns/op	   88787 B/op	      85 allocs/op
BenchmarkMultiWayLiveJoinRelationShapes/cross3_rows_24-24         	   24037	     50696 ns/op	   88798 B/op	      85 allocs/op
BenchmarkMultiWayLiveJoinRelationShapes/cross3_rows_24-24         	   23739	     50037 ns/op	   88789 B/op	      85 allocs/op
BenchmarkMultiWayLiveJoinRelationShapes/cross3_rows_24-24         	   23400	     49979 ns/op	   88796 B/op	      85 allocs/op
BenchmarkMultiWayLiveJoinRelationShapes/cross3_rows_24-24         	   24244	     50096 ns/op	   88793 B/op	      85 allocs/op
BenchmarkMultiWayLiveJoinRelationShapes/cross3_rows_24-24         	   23666	     50408 ns/op	   88802 B/op	      85 allocs/op
