goos: linux
goarch: amd64
pkg: github.com/ponchione/shunter/subscription
cpu: AMD Ryzen 9 9900X 12-Core Processor
BenchmarkMultiWayLiveJoinAggregateRelationShapes/cross3_rows_24/count-24          	    3843	    307658 ns/op	   10203 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/cross3_rows_24/count-24          	    3878	    306205 ns/op	   10203 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/cross3_rows_24/count-24          	    3909	    306459 ns/op	   10202 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/cross3_rows_24/count-24          	    3890	    307389 ns/op	   10203 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/cross3_rows_24/count-24          	    3868	    306659 ns/op	   10203 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/cross3_rows_32/count-24          	    1665	    713793 ns/op	   12929 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/cross3_rows_32/count-24          	    1677	    708468 ns/op	   12934 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/cross3_rows_32/count-24          	    1665	    706839 ns/op	   12935 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/cross3_rows_32/count-24          	    1706	    706313 ns/op	   12933 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/cross3_rows_32/count-24          	    1696	    708373 ns/op	   12934 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/cross3_rows_32/count-24          	    1707	    710495 ns/op	   12933 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/cross3_rows_32/count-24          	    1693	    710645 ns/op	   12933 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/cross3_rows_32/count-24          	    1704	    706830 ns/op	   12934 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/cross3_rows_32/count-24          	    1694	    709901 ns/op	   12934 B/op	      73 allocs/op
