goos: linux
goarch: amd64
pkg: github.com/ponchione/shunter/subscription
cpu: AMD Ryzen 9 9900X 12-Core Processor            
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/count_column-24 	     499	   2397705 ns/op	   38561 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/count_column-24 	     500	   2402589 ns/op	   38562 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/count_column-24 	     499	   2397811 ns/op	   38559 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/count_column-24 	     507	   2556971 ns/op	   38559 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/count_distinct-24         	     414	   2467741 ns/op	  120606 B/op	     347 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/count_distinct-24         	     492	   2439497 ns/op	  120618 B/op	     347 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/count_distinct-24         	     492	   2467131 ns/op	  120618 B/op	     347 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/count_distinct-24         	     490	   2436404 ns/op	  120620 B/op	     347 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/count_distinct-24         	     490	   2516233 ns/op	  120620 B/op	     347 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/count_distinct-24         	     493	   2416869 ns/op	  120617 B/op	     347 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/count_distinct-24         	     499	   2410847 ns/op	  120612 B/op	     347 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/count_distinct-24         	     496	   2420700 ns/op	  120614 B/op	     347 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/count_distinct-24         	     487	   2425615 ns/op	  120600 B/op	     347 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/count_distinct-24         	     490	   2426402 ns/op	  120617 B/op	     347 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/sum-24                    	     496	   2414976 ns/op	   38688 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/sum-24                    	     500	   2384818 ns/op	   38689 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/sum-24                    	     504	   2396032 ns/op	   38688 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/sum-24                    	     504	   2389955 ns/op	   38688 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/sum-24                    	     505	   2390809 ns/op	   38688 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/sum-24                    	     494	   2380438 ns/op	   38691 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/sum-24                    	     500	   2380997 ns/op	   38689 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/sum-24                    	     490	   2384771 ns/op	   38692 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/sum-24                    	     498	   2372509 ns/op	   38690 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/sum-24                    	     506	   2384560 ns/op	   38688 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/count_star-24             	     253	   4719693 ns/op	   51875 B/op	      93 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/count_star-24             	     254	   4717827 ns/op	   51874 B/op	      93 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/count_star-24             	     255	   4735334 ns/op	   51873 B/op	      93 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/count_star-24             	     255	   4691835 ns/op	   51869 B/op	      93 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/count_star-24             	     253	   4690665 ns/op	   51875 B/op	      93 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/count_star-24             	     255	   4690014 ns/op	   51873 B/op	      93 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/count_star-24             	     253	   4700730 ns/op	   51875 B/op	      93 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/count_star-24             	     253	   4753750 ns/op	   51875 B/op	      93 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/count_star-24             	     250	   4719794 ns/op	   51877 B/op	      93 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/count_star-24             	     253	   4849503 ns/op	   51875 B/op	      93 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/count_column-24           	     252	   4727131 ns/op	   51877 B/op	      93 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/count_column-24           	     253	   4722406 ns/op	   51871 B/op	      93 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/count_column-24           	     255	   4717708 ns/op	   51873 B/op	      93 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/count_column-24           	     254	   4770711 ns/op	   51875 B/op	      93 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/count_column-24           	     250	   4719819 ns/op	   51877 B/op	      93 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/count_column-24           	     254	   4738363 ns/op	   51874 B/op	      93 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/count_column-24           	     252	   4708757 ns/op	   51876 B/op	      93 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/count_column-24           	     250	   4728579 ns/op	   51877 B/op	      93 allocs/op
