goos: linux
goarch: amd64
pkg: github.com/ponchione/shunter/subscription
cpu: AMD Ryzen 9 9900X 12-Core Processor            
BenchmarkMultiWayLiveJoinAggregateFunctions/cross3_rows_80/count_star-24         	     100	  10573928 ns/op	   25731 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/cross3_rows_80/count_star-24         	     100	  10572691 ns/op	   25731 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/cross3_rows_80/count_star-24         	     100	  10590147 ns/op	   25731 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/cross3_rows_80/count_star-24         	     100	  10562919 ns/op	   25731 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/cross3_rows_80/count_star-24         	     100	  10593292 ns/op	   25731 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/cross3_rows_80/count_star-24         	     100	  10607928 ns/op	   25731 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/cross3_rows_80/count_star-24         	     100	  10648604 ns/op	   25731 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/cross3_rows_80/count_column-24       	      49	  28488943 ns/op	   25821 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/cross3_rows_80/count_column-24       	      49	  28650958 ns/op	   25821 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/cross3_rows_80/count_column-24       	      49	  28604423 ns/op	   25843 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/cross3_rows_80/count_column-24       	      49	  28517004 ns/op	   25843 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/cross3_rows_80/count_column-24       	      49	  28553230 ns/op	   25843 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/cross3_rows_80/count_column-24       	      49	  28580954 ns/op	   25824 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/cross3_rows_80/count_column-24       	      49	  28607963 ns/op	   25843 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/cross3_rows_80/count_column-24       	      49	  28540998 ns/op	   25843 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/cross3_rows_80/count_column-24       	      49	  28598747 ns/op	   25843 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/cross3_rows_80/count_column-24       	      49	  28622562 ns/op	   25846 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/cross3_rows_80/count_distinct-24     	      25	  47005896 ns/op	   71915 B/op	     247 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/cross3_rows_80/count_distinct-24     	      25	  47013697 ns/op	   71867 B/op	     247 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/cross3_rows_80/count_distinct-24     	      25	  47225410 ns/op	   71910 B/op	     247 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/cross3_rows_80/count_distinct-24     	      25	  47251788 ns/op	   71915 B/op	     247 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/cross3_rows_80/count_distinct-24     	      25	  47256160 ns/op	   71867 B/op	     247 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/cross3_rows_80/count_distinct-24     	      25	  46988212 ns/op	   71910 B/op	     247 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/cross3_rows_80/count_distinct-24     	      25	  47176184 ns/op	   71910 B/op	     247 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/cross3_rows_80/count_distinct-24     	      25	  47085245 ns/op	   71910 B/op	     247 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/cross3_rows_80/count_distinct-24     	      25	  47068067 ns/op	   71910 B/op	     247 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/cross3_rows_80/count_distinct-24     	      25	  46891536 ns/op	   71867 B/op	     247 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/cross3_rows_80/sum-24                	      34	  34500754 ns/op	   26068 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/cross3_rows_80/sum-24                	      33	  34551979 ns/op	   26078 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/cross3_rows_80/sum-24                	      33	  34492860 ns/op	   26078 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/cross3_rows_80/sum-24                	      33	  34534460 ns/op	   26078 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/cross3_rows_80/sum-24                	      31	  34725720 ns/op	   26068 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/cross3_rows_80/sum-24                	      32	  34466684 ns/op	   26058 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/cross3_rows_80/sum-24                	      33	  35085054 ns/op	   26078 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/cross3_rows_80/sum-24                	      32	  35169879 ns/op	   26088 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/cross3_rows_80/sum-24                	      32	  34865957 ns/op	   26055 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/cross3_rows_80/sum-24                	      33	  34733171 ns/op	   26078 B/op	      75 allocs/op
PASS
ok  	github.com/ponchione/shunter/subscription	108.463s
